,Words,1470-1494 Similarities,1470-1494 Z-Scores,1495-1519 Similarities,1495-1519 Z-Scores,1520-1544 Similarities,1520-1544 Z-Scores,1545-1569 Similarities,1545-1569 Z-Scores,1570-1594 Similarities,1570-1594 Z-Scores,1595-1619 Similarities,1595-1619 Z-Scores,1620-1644 Similarities,1620-1644 Z-Scores,1645-1669 Similarities,1645-1669 Z-Scores,1670-1700 Similarities,1670-1700 Z-Scores
10,libido,0.16944225132465363,1.1464747794862222,-0.5447043776512146,-1.1124251228888495,-0.08470653742551804,-3.038683731559094e-05,0.18125244975090027,1.3515563710585303,0.25330159068107605,1.5894200397717435,0.2649267315864563,1.4225022451040041,0.25105658173561096,1.323089261834988,0.31012916564941406,1.5162868100882203,0.2705649435520172,1.2675356432740625
11,covetousness,,,,,,,,,,,,,0.25517797470092773,1.3496862977519033,-0.14728474617004395,-1.25616064925404,-0.17277200520038605,-1.4153958075840563
12,avarice,,,,,-0.39413103461265564,-1.7130188779976114,0.02700001932680607,0.2856722749949688,0.07527969032526016,0.39460513492291993,0.28619566559791565,1.5596193378735428,0.02723119780421257,-0.12134756465510009,-0.00030928957858122885,-0.3653225687246854,-0.05923084914684296,-0.7282815496813888
13,possess,,,-0.6760103106498718,-1.5631134206606254,-0.28994399309158325,-1.1362345423162035,-0.09540721774101257,-0.5601615758880075,0.020537450909614563,0.027196161937651477,0.20506440103054047,1.0365802836265796,0.11205641180276871,0.4260642648805989,-0.04899410158395767,-0.6604077855602782,-0.11080704629421234,-1.0404039699572964
14,possession,-0.7579851150512695,-1.921047434770582,-0.4168931841850281,-0.6737320044290476,-0.4881018102169037,-2.23324548765137,-0.3512836992740631,-2.3282677345588088,-0.49393999576568604,-3.4257796813018113,-0.3779251277446747,-2.7218511101457468,-0.3489449620246887,-2.5489663135233025,-0.28216317296028137,-2.0736769993520032,-0.40010425448417664,-2.791136862134483
15,possessing,-0.06483281403779984,0.3715958042689911,,,,,-0.3752508759498596,-2.493880894598112,-0.05242840200662613,-0.4625227346423851,0.0002611530071590096,-0.2837503894384033,-0.07600253075361252,-0.7875570742543647,-0.054581012576818466,-0.6942708071857375,-0.09927225112915039,-0.9705991300615034
16,busy,-0.0885920375585556,0.29301073271971234,-0.5385329127311707,-1.0912424774740281,-0.27227258682250977,-1.038404810550547,0.06206664443016052,0.5279826094093203,0.13178366422653198,0.7738381959423302,0.04126995429396629,-0.01937382936345329,0.2694442570209503,1.4417524575332308,0.21014130115509033,0.9102468674470316,0.2410898506641388,1.0891619391458778
17,businesse,,,,,-0.29889115691185,-1.1857664597693112,-0.17635227739810944,-1.1194918341290416,-0.33960506319999695,-2.3899426443992944,-0.3817969560623169,-2.7468121092410396,-0.3540392220020294,-2.581841658516526,-0.38258540630340576,-2.6823497102150515,0.10293550789356232,0.2530966566674266
18,need,-0.2041030079126358,-0.08904880142592461,-0.14472028613090515,0.2604614270656147,-0.34006986021995544,-1.413733687603337,-0.03047892451286316,-0.1115071530943817,-0.19218598306179047,-1.4005221637944885,-0.25561586022377014,-1.933344682310557,-0.1961628794670105,-1.563000992709653,-0.24364298582077026,-1.8402009458067008,-0.12849831581115723,-1.1474657962413202
19,necessity,,,,,-0.2649642825126648,-0.9979456960122103,-0.2782862186431885,-1.8238552371787755,-0.3480917513370514,-2.4469020491617943,-0.3319492042064667,-2.425452382802047,-0.4229345917701721,-3.0264516822762,-0.44691625237464905,-3.072267651359686,-0.3456896245479584,-2.46183716705263
